[538, 993, 1676, 2456, 3733, 6261, 6196, 3610, 10201, 2629],
[537, 992, 1672, 2453, 3728, 6258, 6185, 3602, 10201, 2622],
[537, 991, 1674, 2452, 3727, 6254, 6183, 3597, 10201, 2614],
[535, 989, 1671, 2449, 3723, 6243, 6174, 3590, 10201, 2600],
[533, 986, 1667, 2444, 3716, 6236, 6164, 3582, 10201, 2584],
[529, 981, 1660, 2434, 3709, 6220, 6143, 3562, 10201, 2558],
[529, 981, 1660, 2435, 3710, 6226, 6150, 3568, 10201, 2564],
[530, 981, 1662, 2436, 3712, 6226, 6151, 3566, 10201, 2565],
[533, 985, 1668, 2444, 3719, 6237, 6168, 3581, 10201, 2588],
[522, 972, 1648, 2422, 3687, 6176, 6101, 3522, 10201, 2499],
[505, 962, 1634, 2392, 3662, 6122, 6046, 3486, 10201, 2443],
[496, 955, 1627, 2373, 3654, 6093, 6013, 3468, 10201, 2418],
[493, 953, 1624, 2361, 3648, 6075, 5994, 3456, 10201, 2398],
[490, 951, 1620, 2350, 3642, 6064, 5972, 3447, 10201, 2381],
[492, 960, 1639, 2377, 3691, 6169, 6147, 3512, 10201, 2424],
[474, 939, 1623, 2332, 3641, 6088, 6037, 3450, 10201, 2389],
[471, 911, 1564, 2256, 3519, 5850, 5672, 3304, 10201, 2275],
[477, 917, 1564, 2260, 3516, 5839, 5652, 3304, 10201, 2272],
[474, 914, 1563, 2253, 3512, 5841, 5652, 3304, 10201, 2271],
[468, 905, 1549, 2229, 3473, 5775, 5568, 3263, 10201, 2245],
[468, 903, 1546, 2226, 3448, 5730, 5515, 3237, 10201, 2227],
[450, 874, 1508, 2158, 3362, 5590, 5335, 3147, 10201, 2163],
[462, 909, 1542, 2225, 3590, 5976, 5845, 3402, 10201, 2327],
[489, 954, 1632, 2344, 3626, 6054, 5974, 3455, 10201, 2373],
[476, 933, 1616, 2300, 3690, 6148, 6126, 3526, 10201, 2407],
[501, 983, 1659, 2406, 3728, 6238, 6312, 3593, 10201, 2448],
[496, 974, 1648, 2393, 3721, 6214, 6255, 3558, 10201, 2422],
[499, 979, 1652, 2397, 3721, 6208, 6243, 3564, 10201, 2420],
[499, 981, 1654, 2399, 3728, 6232, 6296, 3583, 10201, 2434],
[495, 973, 1648, 2389, 3715, 6206, 6237, 3557, 10201, 2423],
[495, 969, 1654, 2375, 3704, 6181, 6173, 3555, 10201, 2429],
[495, 969, 1651, 2378, 3703, 6181, 6183, 3545, 10201, 2421],
[491, 964, 1643, 2369, 3700, 6177, 6175, 3535, 10201, 2418],
[477, 938, 1621, 2312, 3630, 6067, 5990, 3457, 10201, 2377],
[476, 936, 1620, 2307, 3619, 6056, 5969, 3448, 10201, 2376],
[487, 966, 1645, 2376, 3708, 6206, 6252, 3553, 10201, 2426],
[489, 968, 1645, 2378, 3708, 6204, 6256, 3556, 10201, 2427],
[487, 967, 1645, 2377, 3708, 6203, 6256, 3555, 10201, 2425],
[489, 971, 1649, 2381, 3713, 6212, 6276, 3564, 10201, 2430],
[485, 966, 1643, 2374, 3703, 6203, 6270, 3553, 10201, 2422],
[484, 965, 1641, 2371, 3703, 6199, 6262, 3551, 10201, 2420],
[161, 850, 1029, 716, 859, 1018, 1285, 1465, 5393, 846],
[159, 733, 918, 671, 742, 885, 1093, 1233, 4156, 762],
[175, 883, 1065, 757, 791, 935, 1164, 1326, 4548, 772],
[182, 933, 1123, 787, 821, 967, 1210, 1384, 4838, 792],
[181, 921, 1102, 777, 803, 939, 1173, 1341, 4623, 770],
[181, 926, 1112, 782, 817, 961, 1201, 1374, 4788, 784],
[182, 933, 1122, 787, 822, 967, 1210, 1384, 4837, 790],
[183, 936, 1126, 790, 826, 971, 1216, 1394, 4867, 814],
[155, 900, 1092, 732, 738, 878, 1100, 1255, 4607, 710],
[161, 907, 1104, 742, 820, 966, 1209, 1383, 4844, 798],
[197, 956, 1149, 815, 848, 1001, 1250, 1443, 5019, 926],
[197, 954, 1147, 814, 847, 1000, 1248, 1442, 5015, 924],
